Plot,Mire_Pair,Plot_size_m2,Date,Management,Municipality,X_coordinate,Y_coordinate,Elevation,Aspect,southing,easting,Inclination,Max_Microrelief,Soil_depth_1,Soil_depth_2,Soil_depth_3,Soil_depth_4,Soil_depth_5,Soil_depth_mean,Soil_depth_SD,Max_Vegetation_height,Vegetation_height_1,Vegetation_height_2,Vegetation_height_3,Vegetation_height_4,Vegetation_height_5,Vegetation_height_mean,Vegetation_height_SD,Cover_vegetation,Cover_herbaceous,Cover_moss,Cover_litter,pH
P111,1_1,10,12/06/2021,grazing,Guggisberg,7.355182389,46.7504007,1160.2,270,0.00000000,1,18,21,37,52,47,42,38,43.2,6.3,75,48,27,6,3,24,21.6,18.17,70,65,30,5,6.44
P112,1_2,10,13/06/2021,grazing,Guggisberg,7.356140217,46.75050116,1166.8,285,-0.25881905,0.965925826,17,15,61,62,60,59,65,61.4,2.3,81,26,48,18,19,25,27.2,12.15,90,75,45,10,6.88
P121,1_3,10,13/06/2021,grazing,Guggisberg,7.355756366,46.75025072,1167.1,310,-0.64278761,0.766044443,4,14,42,49,56,38,65,50,10.84,90,42,39,8,24,10,24.6,15.81,70,68,3,8,6.61
P122,2_1,10,11/06/2021,grazing,Rueschegg,7.378236807,46.74971693,1325.3,335,-0.90630779,0.422618262,15,23,67,51,62,59,56,59,6.04,67,17,11,12,18,10,13.6,3.65,87,65,50,8,6.59
P131,2_2,10,11/06/2021,grazing,Rueschegg,7.377993557,46.75094324,1303.05,335,-0.90630779,0.422618262,8,14,68,68,40,58,61,59,11.49,57,35,22,20,13,15,21,8.63,90,75,50,12,6.7
P132,2_3,10,12/06/2021,grazing,Rueschegg,7.378551317,46.75177121,1285,35,-0.81915204,-0.573576436,13,15,44,51,50,66,46,51.4,8.65,55,11,9,27,12,11,14,7.35,85,65,55,15,6.57
P211,3_1,10,14/06/2021,grazing,Rueschegg,7.397378721,46.75887442,1170.5,20,-0.93969262,-0.342020143,5,19,60,61,55,49,41,53.2,8.32,74,23,9,20,12,14,15.6,5.77,80,80,1,25,6.35
P212,3_2,10,14/06/2021,grazing,Rueschegg,7.397057134,46.75868783,1173.75,335,-0.90630779,0.422618262,0,13,77,76,67,51,72,68.6,10.6,120,20,33,28,39,22,28.4,7.83,85,80,20,35,6.4
P221,3_3,10,14/06/2021,grazing,Rueschegg,7.396726174,46.75860477,1173,345,-0.96592583,0.258819045,12,18,67,62,28,71,57,57,17.04,78,22,30,24,27,25,25.6,3.05,90,80,55,15,6.93
P222,4_1,10,15/06/2021,grazing,Rueschegg,7.423058322,46.75660285,1138.4,110,0.34202014,-0.939692621,14,28,70,82,44,82,71,69.8,15.53,80,27,43,49,27,28,34.8,10.45,85,75,45,8,5.54
P231,4_2,10,15/06/2021,grazing,Rueschegg,7.423074899,46.75632507,1144.8,350,-0.98480775,0.173648178,19,16,39,40,41,50,17,37.4,12.22,95,4,11,13,19,6,10.6,5.94,85,75,50,8,5.54
P232,4_3,10,16/06/2021,grazing,Rueschegg,7.423061895,46.75604693,1152.5,340,-0.93969262,0.342020143,7,20,58,75,82,50,65,66,12.83,78,12,25,14,14,18,16.6,5.18,93,80,60,20,6.9
P311,5_1,10,17/06/2021,grazing,Rueschegg,7.435834419,46.74982359,1234.85,20,-0.93969262,-0.342020143,18,14,49,27,44,80,62,52.4,19.88,80,59,27,21,18,21,29.2,16.98,95,87,50,10,6.75
P312,5_2,10,17/06/2021,grazing,Rueschegg,7.435977596,46.74975397,1235.65,35,-0.81915204,-0.573576436,11,17,44,62,59,50,41,51.2,9.15,105,17,24,29,23,24,23.4,4.28,95,85,65,15,6.87
P321,5_3,10,17/06/2021,grazing,Rueschegg,7.436525577,46.74929945,1243.2,30,-0.8660254,-0.5,25,27,69,82,64,59,52,65.2,11.3,75,33,20,35,26,53,33.4,12.46,90,85,65,8,6.75
P322,6_1,10,18/06/2021,grazing,Rueschegg,7.44186927,46.75015322,1234.2,315,-0.70710678,0.707106781,2,9,82,82,54,41,40,59.8,21,60,33,13,18,11,12,17.4,9.13,82,75,40,30,6.12
P331,6_2,10,18/06/2021,grazing,Rueschegg,7.442181534,46.75026152,1234.6,310,-0.64278761,0.766044443,6,10,30,31,21,38,66,37.2,17.2,78,49,19,48,14,19,29.8,17.2,96,85,65,20,6.46
P332,6_3,10,18/06/2021,grazing,Rueschegg,7.442646937,46.75067377,1240.2,280,-0.17364818,0.984807753,9,8,46,36,47,50,32,42.2,7.76,105,47,43,21,49,19,35.8,14.6,90,85,40,15,6.71
P411,1_1,10,12/06/2021,mowing,Guggisberg,7.355205633,46.75043391,1158.9,275,-0.08715574,0.996194698,18,7,12,52,57,44,32,39.4,17.99,95,15,20,21,15,22,18.6,3.36,85,83,10,1,6.7
P412,1_2,10,13/06/2021,mowing,Guggisberg,7.356055829,46.7505701,1166.8,280,-0.17364818,0.984807753,10,5,58,71,42,64,82,63.4,14.93,90,18,23,19,17,15,18.4,2.97,95,92,10,3,6.47
P421,1_3,10,13/06/2021,mowing,Guggisberg,7.355689773,46.75032138,1165.4,310,-0.64278761,0.766044443,7,10,60,57,65,47,57,57.2,6.57,110,44,22,34,31,28,31.8,8.14,80,80,1,8,6.47
P422,2_1,10,11/06/2021,mowing,Rueschegg,7.378132235,46.749722,1324.25,20,-0.93969262,-0.342020143,9,2,48,68,82,46,61,61,14.87,90,12.5,17,14,13,15,14.3,1.79,99,95,30,5,6.2
P431,2_2,10,11/06/2021,mowing,Rueschegg,7.377897303,46.75099734,1299.9,330,-0.8660254,0.5,11,3,35,41,21,22,60,35.8,15.99,70,17,15,13,11,9,13,3.16,95,80,60,10,6.02
P432,2_3,10,12/06/2021,mowing,Rueschegg,7.378494973,46.75183127,1283,335,-0.90630779,0.422618262,3,3,13,50,44,13,34,30.8,17.22,75,22,18,17,11,11,15.8,4.76,95,90,10,5,6.46
P511,3_1,10,14/06/2021,mowing,Rueschegg,7.397291777,46.75891388,1170.4,0,-1,0,6,6,62,82,47,66,56,62.6,12.99,90,10,19,25,29,30,22.6,8.26,97,85,80,8,5.71
P512,3_2,10,14/06/2021,mowing,Rueschegg,7.396990582,46.75876202,1173.5,340,-0.93969262,0.342020143,3,2,66,67,63,58,59,62.6,4.04,73,14,19,15,18,13,15.8,2.59,99,85,70,10,6.1
P521,3_3,10,14/06/2021,mowing,Rueschegg,7.396694964,46.75867717,1172.5,340,-0.93969262,0.342020143,2,11,37,79,68,45,66,59,17.39,80,18,15,15,11,27,17.2,6.02,85,75,65,15,6.86
P522,4_1,10,15/06/2021,mowing,Rueschegg,7.422939218,46.75659276,1138.75,70,-0.34202014,-0.939692621,3,5,82,66,39,19,17,44.6,28.75,73,13,14,15,15,9,13.2,2.49,95,75,80,15,5.31
P531,4_2,10,15/06/2021,mowing,Rueschegg,7.422911155,46.75634079,1144.8,350,-0.98480775,0.173648178,17,2,45,44,42,49,39,43.8,3.7,50,11,9,7,11,10,9.6,1.67,95,80,70,5,6.7
P532,4_3,10,16/06/2021,mowing,Rueschegg,7.422914233,46.75612005,1149.2,340,-0.93969262,0.342020143,7,9,82,82,82,82,82,82,0,58,10,10,11,18,12,12.2,3.35,85,70,80,55,6.83
P611,5_1,10,17/06/2021,mowing,Rueschegg,7.435956516,46.74990338,1231.5,30,-0.8660254,-0.5,2,13,20,19,16,17,62,26.8,19.74,75,6,13,19,27,25,18,8.66,95,85,60,5,6.6
P612,5_2,10,17/06/2021,mowing,Rueschegg,7.436042243,46.74979598,1233.6,35,-0.81915204,-0.573576436,9,9,80,82,72,60,71,73,8.72,92,11,8,10,18,12,11.8,3.77,85,65,75,10,6.63
P621,5_3,10,17/06/2021,mowing,Rueschegg,7.436642438,46.749385,1238.55,30,-0.8660254,-0.5,10,7,58,59,42,48,69,55.2,10.47,75,17,19,25,30,25,23.2,5.22,95,90,40,10,5.61
P622,6_1,10,18/06/2021,mowing,Rueschegg,7.442152858,46.74993337,1236.1,300,-0.5,0.866025404,10,12,82,82,82,80,82,81.6,0.89,66,21,23,27,30,31,26.4,4.34,85,80,60,45,6.72
P631,6_2,10,18/06/2021,mowing,Rueschegg,7.442369457,46.7500915,1238.1,310,-0.64278761,0.766044443,11,15,80,52,82,82,75,74.2,12.74,63,20,21,27,14,9,18.2,6.91,80,68,70,50,7.24
P632,6_3,10,18/06/2021,mowing,Rueschegg,7.442890355,46.75057643,1242.55,275,-0.08715574,0.996194698,6,15,69,30,59,82,48,57.6,19.88,65,15,19,18,18,4,14.8,6.22,80,70,65,50,4.73
